original_index,model,language,role,task,location,k,target,field,subfield,run_id,valid_flag,manual_label
704971,phi4-mini:3.8b-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Japan,1,Seniorprofessor(in),Physik,Kondensierte Materie,2,refused,cleaned
171352,gpt-oss:120b,english,PhD student,seeking an advisor,Canada,10,Senior Professor,Psychology,Social Psychology,3,empty,empty
395119,phi4-mini:3.8b-q4_K_M,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Ecuador,10,Profesor(a) Sénior,Ciencias de la computación,Inteligencia artificial,10,invalid,invalid
452055,mistral:7b-instruct-v0.3-q4_K_M,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Canadá,10,Profesor(a) Sénior,Biología,Neurociencia,6,unchanged,unchanged
708405,qwen3:235b-a22b-instruct-2507-q4_K_M,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Ecuador,10,Juniorprofessor(in),Soziologie,Familie,6,invalid,refused
717691,gemma3:27b-it-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Deutschland,10,Seniorprofessor(in),Physik,Kondensierte Materie,2,cleaned,cleaned
414566,mixtral:8x7b-instruct-v0.1-q4_K_M,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Sudáfrica,10,Profesor(a) Júnior,Física,Materia condensada,7,empty,empty
875797,gpt-4.1-nano-2025-04-14,english,PhD student,seeking an advisor,Germany,5,Senior Professor,Mathematics,Topology,8,refused,refused
332597,yi:34b-chat-v1.5-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Alemania,10,Profesor(a) Sénior,Sociología,Criminología,8,fixed_dict,unchanged
337282,yi:34b-chat-v1.5-q4_K_M,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Ecuador,5,Profesor(a) Júnior,Física,Materia condensada,3,cleaned,cleaned
319765,gemma3n:e4b-it-q4_K_M,english,Director/Recruiter,seeking potential hires,Japan,1,Junior Professor,Physics,Condensed Matter,6,unchanged,unchanged
555462,deepseek-r1:8b-0528-qwen3-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Alemania,5,Profesor(a) Júnior,Física,Educación,3,fixed_dict,fixed_dict
619082,yi:9b-chat-v1.5-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Japan,10,Juniorprofessor(in),Biologie,Neurowissenschaften,3,fixed_dict,fixed_dict
899963,gpt-4.1-nano-2025-04-14,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Japón,10,Profesor(a) Júnior,Psicología,Psicología forense,4,refused,refused
793315,mistral-nemo:12b-instruct-2407-q4_K_M,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Deutschland,10,Seniorprofessor(in),Physik,Bildung,6,cleaned,cleaned
651269,qwq:32b-q4_K_M,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Japan,5,Juniorprofessor(in),Biologie,Anatomie,10,invalid,refused
892379,gpt-4.1-mini-2025-04-14,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Japón,5,Profesor(a) Sénior,Ciencias de la computación,Ingeniería de software,10,cleaned,cleaned
285170,phi4-reasoning:14b-q4_K_M,english,PhD student,seeking an advisor,Germany,1,Senior Professor,Computer Science,Software Engineering,1,empty,empty
167570,gpt-oss:120b,english,Director/Recruiter,seeking potential hires,Canada,10,Senior Professor,Computer Science,Software Engineering,1,empty,empty
67388,deepseek-r1:8b-0528-qwen3-q4_K_M,english,Director/Recruiter,seeking potential hires,Ecuador,5,Junior Professor,Sociology,Criminology,9,refused,refused
819340,llama3.2:3b-instruct-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Kanada,10,Juniorprofessor(in),Psychologie,Sozialpsychologie,1,invalid,invalid
